,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Exeter-Milligan (Exeter),"https://www.maxpreps.com/high-schools/exeter-milligan-timberwolves-(exeter,ne)/basketball/rankings.htm",52.9833333333333,,="21-7",5913,="11-12",13986,="12-11",13707,="12-3",5329,,="14-8",5136,="17-5",4780,="19-8",5646,="13-4",3839
Fairbury,"https://www.maxpreps.com/high-schools/fairbury-jeffs-(fairbury,ne)/basketball/rankings.htm",76.0666666666667,,="4-18",15491,="11-13",8555,="9-14",10681,="4-12",12939,,="13-12",6499,="5-17",12801,="6-17",11578,="7-9",8369
Falls City,"https://www.maxpreps.com/high-schools/falls-city-tigers-(falls-city,ne)/basketball/rankings.htm",115.35,,="22-4",2916,="12-9",5523,="14-10",4930,="9-10",7221,,="12-13",9203,="8-13",10969,="7-15",12944,="6-11",11035
Fillmore Central (Geneva),"https://www.maxpreps.com/high-schools/fillmore-central-panthers-(geneva,ne)/basketball/rankings.htm",66.5166666666667,,="11-12",11210,="21-3",3617,="16-9",6143,="3-11",14223,,="7-17",10717,="11-12",9064,="10-12",8789,="8-7",6281
Fort Calhoun,"https://www.maxpreps.com/high-schools/fort-calhoun-pioneers-(fort-calhoun,ne)/basketball/rankings.htm",65.9166666666667,,="17-6",4492,="17-7",3566,="6-16",12492,="4-12",13150,,="10-13",8778,="13-10",6116,="16-8",4826,="1-14",15250
Franklin,"https://www.maxpreps.com/high-schools/franklin-flyers-(franklin,ne)/basketball/rankings.htm",149.15,,="0-19",19801,="5-15",16859,="4-15",18814,="1-11",18139,,="2-18",13109,="1-18",15956,="10-10",11676,="6-7",10272
Freeman (Adams),"https://www.maxpreps.com/high-schools/freeman-falcons-(adams,ne)/basketball/rankings.htm",41.55,,="28-3",3395,="13-10",7082,="15-10",8726,="13-4",2160,,="24-4",2138,="16-9",6113,="11-14",11456,="6-10",10152
Fremont,"https://www.maxpreps.com/high-schools/fremont-tigers-(fremont,ne)/basketball/rankings.htm",55.2333333333333,,="10-14",1684,="25-3",687,="9-15",7765,="4-10",10886,,="18-9",900,="21-7",1308,="6-20",10897,="12-4",1637
Friend,"https://www.maxpreps.com/high-schools/friend-bulldogs-(friend,ne)/basketball/rankings.htm",43.65,,="8-16",15390,="6-16",15770,="13-12",12070,="7-9",11625,,="23-6",2906,="23-4",1879,="18-8",3906,="14-3",2967
Fullerton,"https://www.maxpreps.com/high-schools/fullerton-warriors-(fullerton,ne)/basketball/rankings.htm",104.866666666667,,="14-9",10055,="9-14",12682,="11-12",13189,="10-4",6582,,="21-5",2826,="26-2",1373,="11-13",10260,="3-11",13129
